numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20150501000000;101140;-90;8;100;2.100000;278.250000;275.750000;84;19050;0;mq;mq;mq;mq;mq;mq;mq;mq;100250;mq;mq;-440;mq;mq;mq;mq;277.650000;mq;mq;3.200000;3.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;2.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20150501000000;101160;-50;8;0;0.000000;277.250000;274.750000;84;42080;0;mq;mq;mq;0;mq;mq;mq;mq;100580;mq;mq;-350;mq;mq;mq;mq;281.150000;mq;mq;0.000000;0.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20150501000000;101010;-170;6;90;5.300000;282.350000;278.850000;79;mq;mq;2;mq;mq;mq;mq;mq;mq;mq;100740;mq;mq;-620;mq;mq;mq;mq;mq;mq;mq;7.800000;7.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20150501000000;100930;-190;8;90;3.600000;282.550000;279.950000;84;23000;0;mq;mq;100;mq;1250;mq;mq;mq;100120;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;6.200000;-10;mq;0.000000;mq;mq;mq;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20150501000000;101040;-120;8;60;3.700000;280.550000;280.150000;97;380;45;mq;mq;101;9;30;mq;mq;mq;99200;mq;mq;-610;mq;mq;mq;mq;283.350000;mq;mq;5.000000;5.500000;-10;mq;mq;mq;mq;0.000000;0.200000;0.600000;1.200000;7.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20150501000000;101120;-140;8;110;2.000000;281.250000;280.450000;95;19340;mq;mq;mq;mq;mq;mq;mq;mq;mq;99970;mq;mq;-590;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;1;0.000000;mq;mq;-0.100000;0.200000;2.200000;3.600000;7.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20150501000000;100510;-340;8;80;7.700000;281.450000;280.550000;94;10000;61;6;6;100;8;450;38;mq;mq;99360;mq;mq;-1100;mq;mq;mq;mq;283.150000;mq;mq;10.500000;11.300000;-10;2;0.000000;0.000000;mq;1.500000;5.300000;6.300000;6.300000;10.900000;mq;mq;mq;mq;4;8;550;7;6;1300;mq;mq;mq;mq;mq;mq;
07117;20150501000000;100710;-260;8;70;5.700000;282.050000;281.150000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100010;mq;mq;-910;mq;mq;mq;mq;mq;mq;mq;9.500000;9.500000;-10;mq;mq;mq;mq;2.400000;3.400000;3.400000;3.400000;10.500000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20150501000000;100680;-260;8;70;4.000000;283.550000;282.950000;96;4010;61;mq;mq;100;8;150;mq;mq;mq;100230;mq;mq;-1050;mq;mq;mq;mq;283.650000;mq;mq;5.900000;5.900000;-10;2;0.000000;mq;mq;1.600000;3.800000;6.000000;7.200000;26.000000;mq;mq;mq;mq;8;mq;150;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20150501000000;100880;-200;8;60;3.100000;281.750000;280.950000;95;9000;61;mq;mq;100;mq;150;mq;mq;mq;99130;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;5.700000;-10;mq;0.000000;mq;mq;mq;3.000000;5.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
